signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
cmf_20,5min,-0.008994694916938923,-0.00012313053860402157,-0.00635357456842755,0.0,2.15,-0.21329039528991736,False,895653
volume_sma_10,5min,0.005066725570834509,4.7481402582483234e-05,0.011691573806693204,1.4725888899391748e-06,2.15,0.12179785195343337,False,903065
volume_ratio_10,5min,0.0026235191608542778,-2.919470902740251e-05,0.0009900800366628283,0.012662459109468172,2.15,0.06306617437306669,False,903065
volume_sma_20,5min,0.0038157153235656156,3.0102637784690245e-05,0.010231126968479439,0.00029318456266635984,2.15,0.09142302124110963,False,900664
volume_ratio_20,5min,0.0032720052822989665,-5.2833550685083e-05,0.0007707366457886425,0.0019012107612006446,2.15,0.07839594494306025,False,900664
volume_sma_50,5min,0.002806820731219769,1.3880175965375052e-05,0.007067605004683976,0.007882570021864321,2.15,0.06687212790161201,False,896133
volume_ratio_50,5min,0.004973555694662682,-0.00016143113259503572,-0.00014842824611897647,2.4990854854411992e-06,2.15,0.11849429813593329,False,896133
volume_per_dollar,5min,0.00762071383257047,6.565575299322113e-06,0.016902413472389546,3.9546144137148076e-13,2.15,0.18398393809074912,False,906817
volume_roc,5min,0.0040545146387378035,-6.541612268096131e-06,0.0008030504966020811,0.00011423002157084916,2.15,0.09777636440140519,False,905497
spread_roc,5min,0.0002514858339481651,-0.00010347832197910023,-0.0013826747425042501,0.8109169978685855,2.15,0.00605714364615758,False,905010
spread_zscore,5min,0.0033088032165450305,-7.961127120115208e-05,-0.0011309359512124576,0.0016354521692014679,2.15,0.0799514696450181,False,906030
price_volume_corr,5min,-0.0011696963872199668,-6.3873184568130625e-06,-0.0014024184284860649,0.26696475492513416,2.15,-0.028025460126446806,False,900664
vol_ratio_short_long,5min,0.0017432821991166018,-1.8192782014203601e-06,0.0023977786737715274,0.0968616118965544,2.15,0.042127832308831395,False,907024
intraday_gap,5min,-8.514992923807985e-06,-6.548408937323558e-06,0.00577501031741442,0.9935272694648154,2.15,-0.00020583591046329744,False,907689
btc_eth_corr,5min,-0.0002818508770585541,-1.729536894190531e-05,0.004705035676087909,0.7883659528302966,2.15,-0.006811142993444009,False,907057
eth_btc_ratio,5min,-0.0017020485326114583,-3.0776751472672004e-05,0.00022775191578550347,0.10488535054348946,2.15,-0.041144931752936424,False,907723
eth_btc_ratio_roc5,5min,0.025674618035491877,-0.0011162216664708513,0.0005032821556031657,0.0,2.15,0.6206296333188038,False,907554
eth_btc_ratio_roc20,5min,0.013394954520654782,-0.0005127530733872732,-0.0036774756621465463,0.0,2.15,0.32373168422123494,False,907136
eth_vs_btc_return,5min,0.039301279774838986,-0.0010689189750081596,0.00962967372035801,0.0,2.15,0.9500606674070865,False,907722
eth_vs_btc_return_cum20,5min,0.013350744338833546,-0.0005142511855036336,-0.003713617481852268,0.0,2.15,0.3226309944808759,False,907057
btc_return_share,5min,0.0002582567990765224,-6.959679974105626e-06,-0.0009580987872138812,0.8057379037554522,2.15,0.006236804965200121,False,906805
btc_leads_eth_lag1,5min,3.521991111021755e-17,-6.534567156046833e-06,,0.9999999999999734,2.15,8.513980719169024e-16,False,907723
btc_leads_eth_lag3,5min,3.275547433671558e-17,-6.534567156268878e-06,,0.9999999999999751,2.15,7.918233412835822e-16,False,907723
