Asset,Regime,Agnostic R2,Conditional R2,Improvement
BTC,Calm,0.0015318059883753232,-0.001513318299992239,-0.003045124288367562
BTC,Volatile,0.0015318059883753232,-0.15181348950015172,-0.15334529548852704
BTC,Stressed,0.0015318059883753232,,0.0
ETH,Calm,-0.0026398010125785465,-0.002550350924362066,8.94500882164806e-05
ETH,Volatile,-0.0026398010125785465,-0.04342653166764587,-0.04078673065506733
ETH,Stressed,-0.0026398010125785465,,0.0
